id,name_he,name_en,category,subcategory,address_he,address_en,settlement_he,settlement_en,DMS,lat,lon,link_waze,link_gmaps,status,last_update,source
RG-001,מכונת מחזור בקבוקים – קיבוץ איילת השחר,Bottle Recycling Machine – Kibbutz Ayelet Hashahar,recycling,bottle_machine,שמנייה מול הכלבו,Shamania in front of the department store,קיבוץ איילת השחר,Kibbutz Ayelet Hashahar,"33°01'16.1""N 35°34'38.3""E",33.02113889,35.57730556,"https://waze.com/ul?ll=33.021139,35.577306&navigate=yes","https://www.google.com/maps?q=33.021139,35.577306",active,2025-10-12,רשימת אתרי המועצה 2025
RG-002,מכונת מחזור בקבוקים – קיבוץ ברעם,Bottle Recycling Machine – Kibbutz Baram,recycling,bottle_machine,ליד הכלבו,Near the department store,קיבוץ ברעם,Kibbutz Baram,"33°03'35.3""N 35°26'00.7""E",33.05980556,35.43352778,"https://waze.com/ul?ll=33.059806,35.433528&navigate=yes","https://www.google.com/maps?q=33.059806,35.433528",active,2025-10-12,רשימת אתרי המועצה 2025
RG-003,מכונת מחזור בקבוקים – קיבוץ דפנה,Bottle Recycling Machine – Kibbutz Dafna,recycling,bottle_machine,"מרכז הקיבוץ, ליד המכולת","Kibbutz center, near the grocery",קיבוץ דפנה,Kibbutz Dafna,"33°13'48.0""N 35°38'22.4""E",33.23,35.63955556,"https://waze.com/ul?ll=33.230000,35.639556&navigate=yes","https://www.google.com/maps?q=33.230000,35.639556",active,2025-10-12,רשימת אתרי המועצה 2025
RG-004,מכונת מחזור בקבוקים – קיבוץ הגושרים,Bottle Recycling Machine – Kibbutz HaGoshrim,recycling,bottle_machine,חנייה מזכירות,Parking Secretariat,קיבוץ הגושרים,Kibbutz HaGoshrim,"33°13'14.0""N 35°37'24.8""E",33.22055556,35.62355556,"https://waze.com/ul?ll=33.220556,35.623556&navigate=yes","https://www.google.com/maps?q=33.220556,35.623556",active,2025-10-12,רשימת אתרי המועצה 2025
RG-005,מכונת מחזור בקבוקים – קיבוץ חולתה,Bottle Recycling Machine – Kibbutz Hulata,recycling,bottle_machine,ליד הכלבו,Near the department store,קיבוץ חולתה,Kibbutz Hulata,"33°03'08.4""N 35°36'36.5""E",33.05233333,35.61013889,"https://waze.com/ul?ll=33.052333,35.610139&navigate=yes","https://www.google.com/maps?q=33.052333,35.610139",active,2025-10-12,רשימת אתרי המועצה 2025
RG-006,מכונת מחזור בקבוקים – קיבוץ יפתח,Bottle Recycling Machine – Kibbutz Yiftach,recycling,bottle_machine,ליד המכבסה,Next to the laundromat,קיבוץ יפתח,Kibbutz Yiftah,"33°07'47.2""N 35°33'07.6""E",33.12977778,35.55211111,"https://waze.com/ul?ll=33.129778,35.552111&navigate=yes","https://www.google.com/maps?q=33.129778,35.552111",active,2025-10-12,רשימת אתרי המועצה 2025
RG-007,מכונת מחזור בקבוקים – קיבוץ כפר בלום,Bottle Recycling Machine – Kibbutz Kfar Bloom,recycling,bottle_machine,חנייה אחורית כלבו,Rear parking Department,קיבוץ כפר בלום,Kibbutz Kfar Blum,"33°10'18.3""N 35°36'31.6""E",33.17175,35.60877778,"https://waze.com/ul?ll=33.171750,35.608778&navigate=yes","https://www.google.com/maps?q=33.171750,35.608778",active,2025-10-12,רשימת אתרי המועצה 2025
RG-008,מכונת מחזור בקבוקים – קיבוץ כפר גלעדי,Bottle Recycling Machine – Kibbutz Kfar Giladi,recycling,bottle_machine,מאחורי הכלבו,Behind the department store,קיבוץ כפר גלעדי,Kibbutz Kfar Giladi,"33°13'14.0""N 35°37'24.8""E",33.22055556,35.62355556,"https://waze.com/ul?ll=33.220556,35.623556&navigate=yes","https://www.google.com/maps?q=33.220556,35.623556",active,2025-10-12,רשימת אתרי המועצה 2025
RG-009,מכונת מחזור בקבוקים – קיבוץ כפר הנשיא,Bottle Recycling Machine – Kibbutz Kfar HaNasi,recycling,bottle_machine,"רמפה אחורית לב הקיבוץ, חדר אוכל","Back ramp Heart of the Kibbutz, Dining Room",קיבוץ כפר הנשיא,Kibbutz Kfar HaNasi,"32°58'29.5""N 35°36'14.7""E",32.97486111,35.60408333,"https://waze.com/ul?ll=32.974861,35.604083&navigate=yes","https://www.google.com/maps?q=32.974861,35.604083",active,2025-10-12,רשימת אתרי המועצה 2025
RG-010,מכונת מחזור בקבוקים – קיבוץ להבות הבשן,Bottle Recycling Machine – Kibbutz Lehavot HaBashan,recycling,bottle_machine,כלבו,Department Store,קיבוץ להבות הבשן,Kibbutz Lehavot HaBashan,"33°08'27.2""N 35°38'47.9""E",33.14088889,35.64663889,"https://waze.com/ul?ll=33.140889,35.646639&navigate=yes","https://www.google.com/maps?q=33.140889,35.646639",active,2025-10-12,רשימת אתרי המועצה 2025
RG-011,מכונת מחזור בקבוקים – קיבוץ מחניים,Bottle Recycling Machine – Kibbutz Mahanayim,recycling,bottle_machine,חנייה קידמית מכבסה,Front parking Laundry,קיבוץ מחניים,Kibbutz Machanayim,"32°59'20.4""N 35°34'14.6""E",32.989,35.57072222,"https://waze.com/ul?ll=32.989000,35.570722&navigate=yes","https://www.google.com/maps?q=32.989000,35.570722",active,2025-10-12,רשימת אתרי המועצה 2025
RG-012,מכונת מחזור בקבוקים – קיבוץ נאות מרדכי,Bottle Recycling Machine – Kibbutz Neot Mordechai,recycling,bottle_machine,חנייה אחורית כלבו,Rear parking Department,קיבוץ נאות מרדכי,Kibbutz Neot Mordechai,"33°09'35.1""N 35°35'44.8""E",33.15975,35.59577778,"https://waze.com/ul?ll=33.159750,35.595778&navigate=yes","https://www.google.com/maps?q=33.159750,35.595778",active,2025-10-12,רשימת אתרי המועצה 2025
RG-013,מכונת מחזור בקבוקים – קיבוץ שדה נחמיה,Bottle Recycling Machine – Kibbutz Sde Nehemia,recycling,bottle_machine,חנייה ממול כלבו,Parking in front of the department store,קיבוץ שדה נחמיה,Kibbutz Sde Nehemiah,"33°11'15.8""N 35°37'20.5""E",33.18772222,35.62236111,"https://waze.com/ul?ll=33.187722,35.622361&navigate=yes","https://www.google.com/maps?q=33.187722,35.622361",active,2025-10-12,רשימת אתרי המועצה 2025
RG-014,מכונת מחזור בקבוקים – קיבוץ שמיר,Bottle Recycling Machine – Kibbutz Shamir,recycling,bottle_machine,חנייה אחורית חדר אוכל,Rear parking Dining room,קיבוץ שמיר,Kibbutz Shamir,"33°09'54.4""N 35°39'38.1""E",33.16511111,35.66058333,"https://waze.com/ul?ll=33.165111,35.660583&navigate=yes","https://www.google.com/maps?q=33.165111,35.660583",active,2025-10-12,רשימת אתרי המועצה 2025
,,,,,,,,,,,,,,,,
